year pnro price n
2011 78310 925.0 20
2011 78400 961.0 16
2011 78500 890.0 10
2011 78850 998.0 44
2011 78870 982.0 22
2011 79100 1049.0 66
2011 79600 702.0 14
2011 79700 778.0 11
2011 80100 2243.0 228
2011 80110 2215.0 144
2011 80130 1707.0 9
2011 80140 1932.0 70
2011 80160 1512.0 146
2011 80170 1696.0 48
2011 80200 2140.0 72
2011 80220 2100.0 40
2011 80230 1718.0 66
2011 80260 1618.0 57
2011 80330 1693.0 26
2011 80400 1604.0 24
2011 80710 1941.0 35
2011 81100 1407.0 24
2011 81200 974.0 13
2011 81700 871.0 62
2011 81720 700.0 28
2011 82140 709.0 9
2011 82200 1077.0 19
2011 82500 1096.0 56
2011 82600 798.0 17
2011 82900 814.0 34
2011 83100 953.0 23
2011 83400 818.0 13
2011 83500 819.0 54
2011 83700 1063.0 16
2011 83900 792.0 18
2011 84100 1493.0 107
2011 85100 1310.0 42
2011 85200 767.0 6
2011 85410 922.0 6
2011 85500 1211.0 50
2011 85800 1000.0 33
2011 86300 1029.0 70
2011 86400 681.0 6
2011 86600 1140.0 28
2011 86800 858.0 30
2011 87100 1596.0 163
2011 87150 1339.0 14
2011 87200 1553.0 94
2011 87250 1656.0 38
2011 87300 1143.0 16
2011 87400 1262.0 35
2011 87500 1256.0 77
2011 87600 755.0 17
2011 87700 1406.0 43
2011 88300 730.0 8
2011 88600 1574.0 52
2011 88610 1808.0 16
2011 88900 997.0 54
2011 89600 815.0 38
2011 90100 2167.0 366
2011 90120 1949.0 160
2011 90140 1663.0 26
2011 90150 1665.0 64
2011 90160 1474.0 71
2011 90230 2105.0 85
2011 90240 1630.0 85
2011 90250 1241.0 105
2011 90310 1761.0 18
2011 90400 2903.0 9
2011 90420 1811.0 113
2011 90440 1473.0 98
2011 90450 1592.0 73
2011 90460 1502.0 76
2011 90500 1706.0 235
2011 90520 1488.0 43
2011 90530 1538.0 52
2011 90540 1622.0 133
2011 90550 1312.0 73
2011 90560 1308.0 80
2011 90570 1383.0 83
2011 90580 1339.0 52
2011 90630 1677.0 91
2011 90650 1623.0 153
2011 90800 1532.0 50
2011 90810 1292.0 22
2011 90830 1436.0 66
2011 90900 1328.0 28
2011 90940 1306.0 56
2011 91100 1135.0 20
2011 91300 1018.0 6
2011 91500 1076.0 27
2011 91700 832.0 11
2011 91800 1132.0 19
2011 91900 1226.0 21
2011 92100 1311.0 65
2011 92120 1053.0 24
2011 92130 1164.0 47
2011 92140 1355.0 10
2011 92150 949.0 6
2011 93100 906.0 19
2011 93400 857.0 9
2011 93600 1480.0 125
2011 93825 1819.0 6
2011 94100 1078.0 139
2011 94200 654.0 14
2011 94400 913.0 23
2011 94450 1153.0 15
2011 94600 1065.0 8
2011 94700 764.0 39
2011 94720 1136.0 15
2011 95400 1621.0 31
2011 95410 1213.0 22
2011 95420 1258.0 31
2011 95430 1173.0 36
2011 95450 1427.0 17
2011 95970 2570.0 7
2011 96100 1785.0 220
2011 96190 1503.0 22
2011 96200 1833.0 123
2011 96300 1754.0 93
2011 96400 1574.0 52
2011 96440 1095.0 43
2011 96460 1662.0 31
2011 96500 1085.0 114
2011 96900 1948.0 31
2011 96910 1488.0 22
2011 97700 688.0 7
2011 97900 745.0 8
2011 98100 845.0 27
2011 98120 729.0 8
2011 98900 671.0 7
2011 99100 1509.0 11
2011 99130 2504.0 11
2011 99600 1088.0 39
2011 99800 1167.0 7
2012 00100 5686.0 370
2012 00120 5858.0 185
2012 00130 6255.0 32
2012 00140 6181.0 206
2012 00150 5791.0 426
2012 00160 6390.0 64
2012 00170 5867.0 174
2012 00180 5568.0 220
2012 00200 4694.0 533
2012 00210 4802.0 185
2012 00240 3891.0 6
2012 00250 5238.0 379
2012 00260 5314.0 158
2012 00270 5052.0 249
2012 00280 4583.0 75
2012 00300 4425.0 18
2012 00310 3527.0 40
2012 00320 3990.0 306
2012 00330 4792.0 163
2012 00340 4019.0 22
2012 00350 4022.0 178
2012 00360 3235.0 69
2012 00370 3270.0 64
2012 00390 2882.0 117
2012 00400 3473.0 218
2012 00410 2583.0 22
2012 00420 2777.0 244
2012 00430 3146.0 20
2012 00440 3232.0 104
2012 00500 4607.0 468
2012 00510 4466.0 342
2012 00520 4028.0 169
2012 00530 4715.0 539
2012 00550 4145.0 219
2012 00560 4590.0 140
2012 00570 4164.0 89
2012 00580 4643.0 11
2012 00600 3003.0 52
2012 00610 4126.0 136
2012 00620 3073.0 79
2012 00630 3000.0 109
2012 00640 3134.0 167
2012 00650 3505.0 27
2012 00660 3251.0 81
2012 00670 3401.0 58
2012 00680 3413.0 41
2012 00690 3103.0 7
2012 00700 3065.0 106
2012 00710 2532.0 199
2012 00720 3016.0 110
2012 00730 3136.0 120
2012 00740 2581.0 106
2012 00750 2673.0 83
2012 00760 2874.0 75
2012 00770 2105.0 37
2012 00780 3119.0 99
2012 00790 3645.0 73
2012 00800 3685.0 121
2012 00810 4045.0 112
2012 00820 2849.0 165
2012 00830 3693.0 30
2012 00840 3093.0 192
2012 00850 4405.0 8
2012 00870 3054.0 44
2012 00900 2572.0 85
2012 00910 3095.0 181
2012 00920 2410.0 123
2012 00930 3158.0 24
2012 00940 2277.0 273
2012 00950 3379.0 45
2012 00960 2651.0 112
2012 00970 2535.0 154
2012 00980 2815.0 200
2012 00990 4130.0 204
2012 01150 2531.0 45
2012 01200 2147.0 198
2012 01230 2531.0 77
2012 01260 2629.0 27
2012 01280 2540.0 148
2012 01300 3005.0 334
2012 01350 2456.0 139
2012 01360 2199.0 326
2012 01370 2729.0 63
2012 01380 2868.0 12
2012 01390 2884.0 70
2012 01400 3073.0 32
2012 01420 3080.0 7
2012 01450 2563.0 278
2012 01480 2037.0 102
2012 01490 2525.0 12
2012 01510 3602.0 71
2012 01520 3463.0 152
2012 01600 2519.0 386
2012 01610 2641.0 102
2012 01620 2284.0 290
2012 01630 2924.0 33
2012 01640 3234.0 35
2012 01650 2330.0 91
2012 01660 2816.0 7
2012 01670 2795.0 57
2012 01690 3284.0 22
2012 01700 2817.0 7
2012 01710 2566.0 162
2012 01730 1921.0 38
2012 01800 2325.0 98
2012 01820 2302.0 69
2012 01840 2463.0 55
2012 01900 2050.0 114
2012 02100 4179.0 105
2012 02110 4249.0 88
2012 02120 4113.0 78
2012 02130 3685.0 106
2012 02140 3052.0 57
2012 02150 3701.0 15
2012 02160 4163.0 35
2012 02170 3882.0 113
2012 02180 3628.0 94
2012 02200 3658.0 131
2012 02210 2904.0 258
2012 02230 3470.0 311
2012 02240 3799.0 18
2012 02260 2639.0 77
2012 02270 3436.0 19
2012 02280 3140.0 57
2012 02300 3343.0 20
2012 02320 2931.0 373
2012 02330 3762.0 67
2012 02340 3173.0 88
2012 02360 2536.0 150
2012 02400 2249.0 192
2012 02410 1731.0 8
2012 02420 2360.0 8
2012 02430 2415.0 75
2012 02450 2901.0 28
2012 02460 1682.0 31
2012 02480 2511.0 36
2012 02580 2038.0 24
2012 02600 3769.0 142
2012 02610 3604.0 73
2012 02620 2634.0 103
2012 02630 3229.0 57
2012 02650 3459.0 237
2012 02660 3340.0 29
2012 02700 3590.0 86
2012 02710 2800.0 120
2012 02720 3119.0 24
2012 02730 3160.0 36
2012 02740 3303.0 10
2012 02750 3477.0 81
2012 02760 2728.0 258
2012 02770 2829.0 109
2012 02780 2739.0 62
2012 02810 2998.0 10
2012 02880 2415.0 50
2012 02920 2954.0 33
2012 02940 2977.0 144
2012 02970 2779.0 13
2012 03100 2153.0 258
2012 03250 2000.0 9
2012 03400 1868.0 36
2012 03600 1481.0 86
2012 03620 1289.0 11
2012 03850 1599.0 6
2012 04130 2244.0 62
2012 04200 2465.0 206
2012 04220 2532.0 45
